transaction_id,timestamp,customer_id,employee_id,total_amount,payment_method
1,2025-01-01 09:00:36,60,1,93000,"Credit Card"
2,2025-01-01 11:24:06,342,1,132000,"Debit Card"
3,2025-01-01 08:43:50,263,8,150000,QRIS
4,2025-01-01 12:59:15,353,8,25000,"Credit Card"
5,2025-01-01 08:33:53,148,11,61000,E-Wallet
6,2025-01-01 07:44:42,20,1,82000,"Debit Card"
7,2025-01-01 09:32:41,420,12,145000,QRIS
8,2025-01-01 12:19:27,499,1,66000,E-Wallet
9,2025-01-01 19:55:07,262,1,27000,"Debit Card"
10,2025-01-01 21:59:13,443,15,131000,"Debit Card"
11,2025-01-01 09:18:32,491,11,93000,"Debit Card"
12,2025-01-01 12:44:39,41,13,85000,E-Wallet
13,2025-01-01 12:11:24,189,4,63000,"Credit Card"
