transaction_id,timestamp,customer_id,employee_id,total_amount,payment_method
1,2025-01-01 09:00:36,60,1,93000,Credit Card
2,2025-01-01 11:24:06,342,1,132000,Debit Card
3,2025-01-01 08:43:50,263,8,150000,QRIS
4,2025-01-01 12:59:15,353,8,25000,Credit Card
5,2025-01-01 08:33:53,148,11,61000,E-Wallet
6,2025-01-01 07:44:42,20,1,82000,Debit Card
7,2025-01-01 09:32:41,420,12,145000,QRIS
8,2025-01-01 12:19:27,499,1,66000,E-Wallet
9,2025-01-01 19:55:07,262,1,27000,Debit Card
10,2025-01-01 21:59:13,443,15,131000,Debit Card
11,2025-01-01 09:18:32,491,11,93000,Debit Card
12,2025-01-01 12:44:39,41,13,85000,E-Wallet
13,2025-01-01 12:11:24,189,4,63000,Credit Card
14,2025-01-01 19:06:20,400,15,98000,Debit Card
15,2025-01-01 13:55:24,371,9,108000,Credit Card
16,2025-01-01 12:41:44,195,5,60000,QRIS
17,2025-01-01 16:55:38,132,8,60000,QRIS
18,2025-01-01 09:35:30,500,11,48000,Credit Card
19,2025-01-01 18:38:15,265,13,100000,E-Wallet
20,2025-01-01 08:58:28,443,12,94000,Credit Card
21,2025-01-01 16:11:48,229,12,63000,E-Wallet
22,2025-01-01 12:20:22,184,13,117000,E-Wallet
23,2025-01-01 15:51:54,202,4,132000,Debit Card
24,2025-01-01 13:12:40,213,5,96000,Credit Card
25,2025-01-01 20:34:17,315,11,32000,Credit Card
26,2025-01-01 17:07:56,314,13,106000,Credit Card
27,2025-01-01 14:40:59,468,5,41000,Credit Card
28,2025-01-01 08:04:56,375,11,105000,QRIS
29,2025-01-01 13:04:17,333,11,69000,E-Wallet
30,2025-01-01 16:27:53,471,7,145000,Cash
31,2025-01-01 09:56:43,224,4,67000,QRIS
32,2025-01-01 11:52:20,327,9,99000,Cash
33,2025-01-01 20:14:29,168,8,48000,Cash
34,2025-01-01 08:32:36,213,11,89000,E-Wallet
35,2025-01-01 07:05:12,228,4,32000,Credit Card
36,2025-01-01 12:25:43,358,7,91000,Cash
37,2025-01-01 16:16:47,168,5,35000,E-Wallet
38,2025-01-01 06:35:06,265,4,41000,QRIS
39,2025-01-01 12:01:17,455,15,72000,E-Wallet
40,2025-01-01 09:44:53,240,15,74000,Cash
41,2025-01-01 17:19:50,131,9,20000,Credit Card
42,2025-01-01 10:04:16,263,11,79000,QRIS
43,2025-01-01 18:37:15,466,8,44000,Cash
44,2025-01-01 12:28:18,311,13,91000,E-Wallet
45,2025-01-01 18:53:55,474,11,55000,Cash
46,2025-01-01 16:22:43,263,12,119000,Debit Card
47,2025-01-01 07:27:12,370,13,32000,QRIS
48,2025-01-01 10:24:17,16,12,143000,Cash
49,2025-01-01 18:50:57,356,4,32000,Debit Card
